Sexo,Comunidades y Ciudades Autónomas,Nacionalidad,Periodo,Total
Ambos sexos,05 Canarias,Total,2023T4,"50,74"
Ambos sexos,05 Canarias,Total,2023T3,"50,13"
Ambos sexos,05 Canarias,Total,2023T2,"50,31"
Ambos sexos,05 Canarias,Total,2023T1,"49,53"
Ambos sexos,05 Canarias,Total,2022T4,"50,48"
Ambos sexos,05 Canarias,Total,2022T3,"48,40"
Ambos sexos,05 Canarias,Total,2022T2,"48,66"
Ambos sexos,05 Canarias,Total,2022T1,"47,34"
Ambos sexos,05 Canarias,Total,2021T4,"48,38"
Ambos sexos,05 Canarias,Total,2021T3,"45,35"
Ambos sexos,05 Canarias,Total,2021T2,"42,85"
Ambos sexos,05 Canarias,Total,2021T1,"41,47"
Ambos sexos,05 Canarias,Española,2023T4,"50,73"
Ambos sexos,05 Canarias,Española,2023T3,"49,91"
Ambos sexos,05 Canarias,Española,2023T2,"50,25"
Ambos sexos,05 Canarias,Española,2023T1,"48,89"
Ambos sexos,05 Canarias,Española,2022T4,"49,62"
Ambos sexos,05 Canarias,Española,2022T3,"47,87"
Ambos sexos,05 Canarias,Española,2022T2,"48,06"
Ambos sexos,05 Canarias,Española,2022T1,"47,47"
Ambos sexos,05 Canarias,Española,2021T4,"48,42"
Ambos sexos,05 Canarias,Española,2021T3,"45,84"
Ambos sexos,05 Canarias,Española,2021T2,"43,64"
Ambos sexos,05 Canarias,Española,2021T1,"42,28"
Ambos sexos,05 Canarias,Extranjera: Total,2023T4,"50,77"
Ambos sexos,05 Canarias,Extranjera: Total,2023T3,"51,11"
Ambos sexos,05 Canarias,Extranjera: Total,2023T2,"50,57"
Ambos sexos,05 Canarias,Extranjera: Total,2023T1,"52,49"
Ambos sexos,05 Canarias,Extranjera: Total,2022T4,"54,56"
Ambos sexos,05 Canarias,Extranjera: Total,2022T3,"50,91"
Ambos sexos,05 Canarias,Extranjera: Total,2022T2,"51,55"
Ambos sexos,05 Canarias,Extranjera: Total,2022T1,"46,69"
Ambos sexos,05 Canarias,Extranjera: Total,2021T4,"48,19"
Ambos sexos,05 Canarias,Extranjera: Total,2021T3,"42,94"
Ambos sexos,05 Canarias,Extranjera: Total,2021T2,"38,99"
Ambos sexos,05 Canarias,Extranjera: Total,2021T1,"37,46"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2023T4,"50,49"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2023T3,"56,91"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2023T2,"54,69"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2023T1,"55,36"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2022T4,"53,75"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2022T3,"53,49"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2022T2,"53,55"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2022T1,"48,21"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2021T4,"49,37"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2021T3,"42,68"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2021T2,"40,57"
Ambos sexos,05 Canarias,Extranjera: Unión Europea,2021T1,"41,73"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2023T4,"50,93"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2023T3,"48,05"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2023T2,"48,37"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2023T1,"50,95"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2022T4,"54,97"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2022T3,"49,13"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2022T2,"49,82"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2022T1,"45,22"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2021T4,"47,12"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2021T3,"43,18"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2021T2,"37,72"
Ambos sexos,05 Canarias,Extranjera: No pertenecientes a la Unión Europea,2021T1,"34,33"
Ambos sexos,06 Cantabria,Total,2023T4,"50,59"
Ambos sexos,06 Cantabria,Total,2023T3,"51,59"
